id,title,vote_average,vote_count,status,release_date,revenue,runtime,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
11023,Thirteen,6.586,1467,Released,2003-08-20,0,100,/iAyr7VEFGJoHDIHIxjEb3TskQW4.jpg,2000000,,tt0328538,en,Thirteen,"Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",19.747,https://image.tmdb.org/t/p/w500/uzTLlZrNF6rMPBh5mUQu6vLnTtX.jpg,It's happening so fast.,Drama,"Sound for Film, Working Title Films, Antidote Films, Michael London Productions","United Kingdom, United States of America","English, Spanish","addiction, dysfunctional family, coming of age, teen angst, underage drinking, makeover, tattoo shop, peer pressure, overachiever, flunking out of school, glue sniffing, woman director, self-harm, girl with piercings, mother daughter relationship, teenage protagonist, teenager, dramatic"
2654,In the Mouth of Madness,7.216,1465,Released,1995-02-03,8946600,95,/y67VzySolvRQz8FtbN8XuwcNOwi.jpg,8000000,http://www.theofficialjohncarpenter.com/in-the-mouth-of-madness/,tt0113409,en,In the Mouth of Madness,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,14.562,https://image.tmdb.org/t/p/w500/msh4tEUzbnEqlHcFOUH4O0Zti8r.jpg,Lived Any Good Books Lately?,"Horror, Thriller, Mystery",New Line Cinema,United States of America,English,"small town, insanity, paranoia, diner, new hampshire, disappearance, author, church, gothic, crucifix, new england, insurance investigator, ghost town, publisher, horror novel, lovecraftian"
10679,Iron Sky,5.69,1465,Released,2012-04-04,10109659,93,/y0ExtenrL4kfcyPojys72D4svAo.jpg,7500000,,tt1034314,en,Iron Sky,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",12.086,https://image.tmdb.org/t/p/w500/hVDJM29BSbET4FzI24xLuWSmDUR.jpg,We come in peace!,"Action, Comedy, Science Fiction","Blind Spot Pictures, 27 Films Production, New Holland Pictures","Finland, Germany, Australia","English, German","moon, swastika, flying saucer, nazi, hologram, secret base, space travel, invasion, nuclear explosion, space, gas mask"
800815,The Pale Blue Eye,6.901,1464,Released,2022-12-22,0,130,/a8e4wgXPPjfOviRYE6L3kAXpvwr.jpg,72000000,https://www.netflix.com/title/81444818,tt14138650,en,The Pale Blue Eye,"West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe",34.677,https://image.tmdb.org/t/p/w500/9xkGlFRqrN8btTLU0KQvOfn2PHr.jpg,Every heart tells a tale.,"Thriller, Mystery, Horror, Crime","Cross Creek Pictures, Le Grisbi Productions",United States of America,"English, French, Latin","based on novel or book, winter, detective, investigation, historical figure, murder, gothic horror, occult, edgar allan poe, west point, book, 1830s"
5516,The Ladykillers,6.122,1463,Released,2004-03-25,76700000,104,/bJIAvpPOUV3NCU9TXBytTo3HaSd.jpg,35000000,,tt0335245,en,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",14.046,https://image.tmdb.org/t/p/w500/l4g9R39NCp6VaYFrw6q8JwKNW9x.jpg,The greatest criminal minds of all time have finally met their match.,"Comedy, Crime, Thriller","Touchstone Pictures, The Jacobson Company, Mike Zoss Productions",United States of America,"English, Vietnamese","garbage, church choir, remake, criminal gang, duringcreditsstinger"
11351,Jeepers Creepers 2,6.114,1463,Released,2003-08-08,63102666,104,/htxYA3QbzttYJ8BPxjFUl6h4GD9.jpg,17000000,https://www.mgm.com/#/our-titles/1002/Jeepers-Creepers-2,tt0301470,en,Jeepers Creepers 2,"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive. Staring hungrily at them through the school bus windows, The Creeper returns again and again. But when the teammates discover that it’s selective about whom it attacks, it will test their ability to stick together – as the insatiable menace tries to tear them apart!",44.939,https://image.tmdb.org/t/p/w500/u2ghDfjcs3y5c8ata3COc4pWiAN.jpg,He can taste your fear.,Horror,"Jeepers Creepers II, United Artists, American Zoetrope, Myriad Pictures",United States of America,English,"farm, monster, parent child relationship, immortality, peasant, scarecrow, father, mythical creature, high school sports, revenge, high school student, school bus"
93856,Chernobyl Diaries,5.243,1463,Released,2012-05-24,38390020,88,/1BgWRWjZtD6zyJfzlfDx3NHaECQ.jpg,1000000,http://www.chernobyldiaries.com/,tt1991245,en,Chernobyl Diaries,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",23.1,https://image.tmdb.org/t/p/w500/9AKhThGA8IATBy3gR7I4dw9SEc4.jpg,Experience the Fallout,"Horror, Thriller","Oren Peli / Brian Witten Pictures, Alcon Entertainment, FilmNation Entertainment, Warner Bros. Pictures, Solana Films",United States of America,"English, Russian, Ukrainian","radiation, tourist, nuclear radiation, deserted town, nuclear power plant, stranded, pripyat, chernobyl, chornobyl"
10153,Sphere,6.087,1463,Released,1998-02-13,37020277,134,/piGIiXsYrmBg65YxsfE4BBFvYyN.jpg,80000000,https://www.warnerbros.com/sphere,tt0120184,en,Sphere,"A spacecraft is discovered on the floor of the Pacific Ocean, presumed to be at least 300 years old and of alien origin. A crack team of scientists and experts is assembled and taken to the Habitat, a state-of-the-art underwater living environment, to investigate.",20.272,https://image.tmdb.org/t/p/w500/5IMr0L4BoONvN5i9kyVd0zGww3L.jpg,Terror can fill any space.,"Science Fiction, Mystery, Thriller","Warner Bros. Pictures, Punch Productions, Baltimore Pictures, Constant c Productions",United States of America,English,"space marine, ocean, extraterrestrial technology, paranoia, alien, psychologist, ocean floor, deepsea, spaceship crash"
40662,Batman: Under the Red Hood,7.75,1461,Released,2010-07-27,6629178,75,/3xnfbtgJmVotajqM57iKib3ftnT.jpg,0,http://www.warnerbros.com/batman-under-red-hood,tt1569923,en,Batman: Under the Red Hood,"One part vigilante, one part criminal kingpin, Red Hood begins cleaning up Gotham with the efficiency of Batman, but without following the same ethical code.",26.627,https://image.tmdb.org/t/p/w500/7lmHqHg1rG9b4U8MjuyQjmJ7Qm0.jpg,Dare to Look Beneath the Hood.,"Science Fiction, Crime, Action, Animation, Mystery","Warner Bros. Animation, DC Comics",United States of America,"English, Latin, Spanish","martial arts, joker, superhero, cartoon, based on comic, vigilante, organized crime, billionaire, super power, mascara, masked superhero"
48034,Little White Lies,7.122,1460,Released,2010-10-20,48531470,154,/aDKuDfEAYa2VENKd155D4ZoAl7c.jpg,25000000,http://www.littlewhiteliesmovie.co.uk/,tt1440232,fr,Les Petits Mouchoirs,"Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.",12.954,https://image.tmdb.org/t/p/w500/djypJtQfUxeEMh6kc0aRzIoN9UR.jpg,The one thing friends can't escape is a few home truths.,"Comedy, Drama","Les Productions du Trésor, M6 Films, EuropaCorp",France,French,"parent child relationship, boat, country house, thirty something, beach house, organic food, weasel, group of friends, reprimand, declaration of love, texting, low tide, forced, interrupted vacation, osteopath, lovesick"
8689,Cannibal Holocaust,6.309,1460,Released,1980-02-07,0,96,/i7oL4aodmX5aXw8s9dpAYRjHMLF.jpg,100000,http://cannibalholocaust.net/,tt0078935,it,Cannibal Holocaust,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,25.715,https://image.tmdb.org/t/p/w500/89vXjnQGdTR1DBrAjqfN5oPpmX3.jpg,Can a movie go too far?,Horror,"F.D. Cinematografica, Bolivariana Films","Colombia, Italy","English, Spanish, Italian","adultery, rape, snake, pig, culture clash, ritual, movie business, leech, spider, animal attack, controversy, swamp, tribe, vomit, amazon rainforest, film in film, human sacrifice, jungle, torture, rape and murder, brutality, cannibal, hatchet, south america, filmmaking, missing person, fake documentary, misogyny, ritual sacrifice, found footage, documentary filmmaking, tortoise, video nasty, lost footage, animal cruelty, amazon tribe, vomiting woman, abused woman, film within a film, adulterous wife, film censorship, film industry, cult movie, guerilla filmmaking, banned film, disemboweling, film reel, yacomo"
763,Braindead,7.398,1460,Released,1992-08-13,242623,103,/te7PK3CrO7SWeNaiGfswWqpM4eH.jpg,3000000,,tt0103873,en,Braindead,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",20.379,https://image.tmdb.org/t/p/w500/pa39D8TQs6aNw3hiUs4jLjHVUB0.jpg,Some things won't stay down... even after they die.,"Horror, Comedy","WingNut Films, New Zealand Film Commission, Avalon/NFU Studios, Trimark Pictures",New Zealand,English,"infidelity, poison, new zealand, reanimation, zombie, back from the dead, monkey, attempted rape, wellington new zealand, splatter"
9550,House of Flying Daggers,7.269,1459,Released,2004-05-19,92863945,119,/jea4adbYk407PhYK9uhWjihPYAv.jpg,15000000,,tt0385004,zh,十面埋伏,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",19.329,https://image.tmdb.org/t/p/w500/93feGsGiCtG5ymrRcErUgBsdo6v.jpg,,"Adventure, Drama, Action","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation, Elite Group Enterprises, Zhang Yimou Studio, Focus Features, Sony Pictures Classics, Edko Films","China, Hong Kong, United States of America",Mandarin,"rebellion, martial arts, government, china, swordplay, tang dynasty, dagger, wuxia, 9th century"
